Año;mes;trim;fecha;subclase-desc;subclase-cod;indice2018;indice2022
2007;1;1;ene-07;Servicios de comunicación fija y móvil y provisión a internet;08310400;70,54;0,766156186
2007;2;1;feb-07;Servicios de comunicación fija y móvil y provisión a internet;08310400;71,05;0,771695449
2007;3;1;mar-07;Servicios de comunicación fija y móvil y provisión a internet;08310400;71,74;0,779189747
2007;4;2;abr-07;Servicios de comunicación fija y móvil y provisión a internet;08310400;71,90;0,780927555
2007;5;2;may-07;Servicios de comunicación fija y móvil y provisión a internet;08310400;72,02;0,782230911
2007;6;2;jun-07;Servicios de comunicación fija y móvil y provisión a internet;08310400;72,03;0,782339524
2007;7;3;jul-07;Servicios de comunicación fija y móvil y provisión a internet;08310400;72,03;0,782339524
2007;8;3;ago-07;Servicios de comunicación fija y móvil y provisión a internet;08310400;71,47;0,776257196
2007;9;3;sep-07;Servicios de comunicación fija y móvil y provisión a internet;08310400;71,46;0,776148583
2007;10;4;oct-07;Servicios de comunicación fija y móvil y provisión a internet;08310400;71,92;0,781144781
2007;11;4;nov-07;Servicios de comunicación fija y móvil y provisión a internet;08310400;71,92;0,781144781
2007;12;4;dic-07;Servicios de comunicación fija y móvil y provisión a internet;08310400;72,10;0,783099815
2008;1;1;ene-08;Servicios de comunicación fija y móvil y provisión a internet;08310400;72,09;0,782991202
2008;2;1;feb-08;Servicios de comunicación fija y móvil y provisión a internet;08310400;72,87;0,791463017
2008;3;1;mar-08;Servicios de comunicación fija y móvil y provisión a internet;08310400;74,73;0,811665037
2008;4;2;abr-08;Servicios de comunicación fija y móvil y provisión a internet;08310400;74,74;0,81177365
2008;5;2;may-08;Servicios de comunicación fija y móvil y provisión a internet;08310400;74,74;0,81177365
2008;6;2;jun-08;Servicios de comunicación fija y móvil y provisión a internet;08310400;74,74;0,81177365
2008;7;3;jul-08;Servicios de comunicación fija y móvil y provisión a internet;08310400;74,75;0,811882263
2008;8;3;ago-08;Servicios de comunicación fija y móvil y provisión a internet;08310400;74,76;0,811990877
2008;9;3;sep-08;Servicios de comunicación fija y móvil y provisión a internet;08310400;74,79;0,812316716
2008;10;4;oct-08;Servicios de comunicación fija y móvil y provisión a internet;08310400;74,97;0,81427175
2008;11;4;nov-08;Servicios de comunicación fija y móvil y provisión a internet;08310400;74,98;0,814380363
2008;12;4;dic-08;Servicios de comunicación fija y móvil y provisión a internet;08310400;74,98;0,814380363
2009;1;1;ene-09;Servicios de comunicación fija y móvil y provisión a internet;08310400;75,10;0,815683719
2009;2;1;feb-09;Servicios de comunicación fija y móvil y provisión a internet;08310400;75,37;0,81861627
2009;3;1;mar-09;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,40;0,82980341
2009;4;2;abr-09;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,95;0,835777126
2009;5;2;may-09;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,95;0,835777126
2009;6;2;jun-09;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,89;0,835125448
2009;7;3;jul-09;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,01;0,836428804
2009;8;3;ago-09;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,06;0,836971869
2009;9;3;sep-09;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,01;0,836428804
2009;10;4;oct-09;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,91;0,835342674
2009;11;4;nov-09;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,96;0,835885739
2009;12;4;dic-09;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,12;0,826762246
2010;1;1;ene-10;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,38;0,829586184
2010;2;1;feb-10;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,34;0,840013034
2010;3;1;mar-10;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,89;0,835125448
2010;4;2;abr-10;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,52;0,831106767
2010;5;2;may-10;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,44;0,830237862
2010;6;2;jun-10;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,41;0,829912023
2010;7;3;jul-10;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,23;0,827956989
2010;8;3;ago-10;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,25;0,828174215
2010;9;3;sep-10;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,27;0,828391441
2010;10;4;oct-10;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,22;0,827848376
2010;11;4;nov-10;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,23;0,827956989
2010;12;4;dic-10;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,20;0,82763115
2011;1;1;ene-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,67;0,832735962
2011;2;1;feb-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;76,71;0,833170414
2011;3;1;mar-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,22;0,838709677
2011;4;2;abr-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,23;0,83881829
2011;5;2;may-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,24;0,838926903
2011;6;2;jun-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,23;0,83881829
2011;7;3;jul-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,25;0,839035516
2011;8;3;ago-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,23;0,83881829
2011;9;3;sep-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,22;0,838709677
2011;10;4;oct-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,21;0,838601064
2011;11;4;nov-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;77,99;0,847072879
2011;12;4;dic-11;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,02;0,85826002
2012;1;1;ene-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;78,89;0,85684805
2012;2;1;feb-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,18;0,859997828
2012;3;1;mar-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,18;0,859997828
2012;4;2;abr-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,86;0,867383513
2012;5;2;may-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,84;0,867166287
2012;6;2;jun-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,82;0,86694906
2012;7;3;jul-12;Servicios de comunicación fija y móvil y provisión a internet;08310400;79,77;0,866405995
