;periodo;modalidad;Velocidad descarga promedio
0;2018-T1;Corporativo;11.809644484563965
1;2018-T1;Residenciales;6.98150469185804
2;2018-T2;Corporativo;12.315585554758854
3;2018-T2;Residenciales;8.020722208449587
4;2018-T3;Corporativo;13.639381329441752
5;2018-T3;Residenciales;8.577221361963957
6;2018-T4;Corporativo;14.22087911851582
7;2018-T4;Residenciales;9.287980117328514
8;2019-T1;Corporativo;16.309575991611368
9;2019-T1;Residenciales;9.903471884306802
10;2019-T2;Corporativo;18.008891540634277
11;2019-T2;Residenciales;10.814976841863563
12;2019-T3;Corporativo;21.154347493880067
13;2019-T3;Residenciales;13.831901807395518
14;2019-T4;Corporativo;26.01467393956743
15;2019-T4;Residenciales;18.14920673466548
16;2020-T1;Corporativo;29.33168589702321
17;2020-T1;Residenciales;24.69149720889536
18;2020-T2;Corporativo;30.27760096674755
19;2020-T2;Residenciales;27.53601521189888
20;2020-T3;Corporativo;35.26257316482568
21;2020-T3;Residenciales;30.42642031443192
22;2020-T4;Corporativo;39.56091004445313
23;2020-T4;Residenciales;33.781280270747075
0;2021-T1;Corporativo;43.94514364337041
1;2021-T1;Residenciales;39.24166697380525
2;2021-T2;Corporativo;49.77050232602026
3;2021-T2;Residenciales;55.102088719432764
4;2021-T3;Corporativo;56.253048183735345
5;2021-T3;Residenciales;64.10745591853566
6;2021-T4;Corporativo;64.83827254777735
7;2021-T4;Residenciales;77.04098502235533
8;2022-T1;Corporativo;78.69162228104034
9;2022-T1;Residenciales;92.9302745909252
10;2022-T2;Corporativo;90.90679579719409
11;2022-T2;Residenciales;110.5285131980777
12;2022-T3;Corporativo;97.53471041750501
13;2022-T3;Residenciales;125.08181804696008
14;2022-T4;Corporativo;105.99988997375222
15;2022-T4;Residenciales;135.59114111636717
