Año;Reporte;Fuente;Subfuente;Grupo Radial;NIT;Razón social de la sociedad;Ingresos de actividades ordinarias
2022;2022;SIRFIN;Plenas individuales;Caracol Radio;860079896;COMPANIA DE COMUNICACIONES DE COLOMBIA S.A.S;3.298.068
2022;2022;SIRFIN;Plenas separadas;Caracol Radio;860014923;CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.;218.100.997
2022;2022;SIRFIN;Plenas separadas;RCN radio;890903910;RADIO CADENA NACIONAL SAS;171.540.206
2022;2022;SIRFIN;Pymes Individuales;RCN radio;860038652;VITAL INVERSIONES S.A.;6.489.330
2022;2022;SIRFIN;Plenas individuales;RCN radio;800011955;DIGITAL ESTEREO SAS;403.965
2022;2022;SIRFIN;Plenas separadas;RCN radio;890926345;EMPRESA COLOMBIANA DE RADIO SAS;93.945
2022;2022;SIRFIN;Plenas individuales;RCN radio;860039071;SERVICIO RADIAL INTEGRADO S A S;601.250
2022;2022;SIRFIN;Pymes Separados;Olimpica Stereo;800155224;CHAR DIAZ SAS / REINES S.A.S;5.500.000
2022;2022;SIRFIN;Pymes Separados;Olimpica Stereo;890103197;ORGANIZACION RADIAL OLIMPICA S. A.;100.941.368
2022;2022;SIRFIN;Pymes Individuales;Radiopolis;860354098;PRODUCCIONES WILLVIN S A;28.948.514
2021;2021;SIRFIN;Plenas individuales;Caracol Radio;860079896;COMPANIA DE COMUNICACIONES DE COLOMBIA S.A.S;3.008.147
2021;2021;SIRFIN;Plenas separadas;Caracol Radio;860014923;CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.;176.958.116
2021;2021;SIRFIN;Plenas separadas;RCN radio;890903910;RADIO CADENA NACIONAL SAS;145.607.705
2021;2021;SIRFIN;Pymes Individuales;RCN radio;860038652;VITAL INVERSIONES S.A.;5.379.862
2021;2021;SIRFIN;Plenas individuales;RCN radio;800011955;DIGITAL ESTEREO SAS;403.965
2021;2021;SIRFIN;Plenas separadas;RCN radio;890926345;EMPRESA COLOMBIANA DE RADIO SAS;93.945
2021;2021;SIRFIN;Plenas individuales;RCN radio;860039071;SERVICIO RADIAL INTEGRADO S A S;601.250
2021;2021;SIRFIN;Pymes Separados;Olimpica Stereo;800155224;CHAR DIAZ SAS / REINES S.A.S;4.634.831
2021;2021;SIRFIN;Pymes Separados;Olimpica Stereo;890103197;ORGANIZACION RADIAL OLIMPICA S. A.;91.829.321
2021;2021;SIRFIN;Pymes Individuales;Radiopolis;860354098;PRODUCCIONES WILLVIN S A;26.016.337
2020;2020;SIRFIN;Plenas individuales;Caracol Radio;860079896;COMPANIA DE COMUNICACIONES DE COLOMBIA S.A.S;2.394.341
2019;2020;SIRFIN;Plenas individuales;Caracol Radio;860079896;COMPANIA DE COMUNICACIONES DE COLOMBIA S.A.S;2.871.983
2020;2020;SIRFIN;Plenas separadas;Caracol Radio;860014923;CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.;130.518.091
2019;2020;SIRFIN;Plenas separadas;Caracol Radio;860014923;CARACOL PRIMERA CADENA RADIAL COLOMBIANA S.A.;194.792.969
2020;2020;SIRFIN;Plenas separadas;RCN radio;890903910;RADIO CADENA NACIONAL SAS;120.305.374
2019;2020;SIRFIN;Plenas separadas;RCN radio;890903910;RADIO CADENA NACIONAL SAS;161.942.702
