nit;razon social;modalidad;anno;ingresos
900163045;CEETTV S.A;TELEVISIÓN LOCAL CON ÁNIMO DE LUCRO;2019;16.100.182.958
891800234;ARQUIDIOCESIS DE TUNJA;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;0
800214261;ASOCIACION COMUNIDAD CRISTIANA DE RESTAURACION;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;5.725.000
812008353;ASOCIACION CANAL 5 DE TELEVISIÓN LOCAL-CANAL 5;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;12.000.000
900039384;ASOCIACION DE TELEVIDENTES DE LA ESTACION LOCAL DEL NORTE - ATN;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;234.407.492
829001133;"COMUNITARIA DEL MAGDALENA MEDIO ""ARCO IRIS""";TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;247.518.000
804006381;CORPORACIÓN CANAL DE TELEVISIÓN LOCAL CIUDADANA DEL ÁREA METROPOLITANA DE BUCARAMANGA TVC;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;0
891200935;DIOCESIS DE IPIALES-TV IPIALES;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;10.961.400
830080615;FUNDACION ICTUS;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;2.504.791.192
829002093;FUNDACION MAGDALENA MEDIOS DE COMUNICACIÓN-ENLACE TV;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;0
805024229;FUNDACION PARA EL DESARROLLO SOCIAL PROMOVER;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;167.751.116
817004595;FUNDACIÓN EMTEL;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;0
860063952;CENTRO MISIONERO BETESDHA - RADIO AUTENTICA - VILLAVICENCIO;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;19.700.000
800118954;UNIVERSIDAD DE NARIÑO-TELEPASTO;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;0
835000300;UNIVERSIDAD DEL PACIFICO;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;0
890399010;UNIVERSIDAD DEL VALLE;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;160.144.928
901032662;PLURAL COMUNICACIONES SAS;TELEVISIÓN NACIONAL (Concesión);2019;45.638.726.263
860025674;CARACOL TELEVISION S. A.;TELEVISIÓN NACIONAL PRIVADA;2019;761.390.185.745
830029703;R.C.N  TELEVISION S.A.;TELEVISIÓN NACIONAL PRIVADA;2019;351.532.956.992
900163045;CEETTV S.A;TELEVISIÓN LOCAL CON ÁNIMO DE LUCRO;2020;16.647.696.304
