Country;Variable;2018A;2019A;2020A;2021A;2022E;2023E;2024E;2025E;2026E;2027E
Argentina;Población;44494,502;44938,712;45376,763;45808,747;46234,83;46654,581;47067,641;47473,76;47873,268;48266,524
Argentina;Hogares;13551,488;13734,617;13920,221;14092,612;14265,002;14437,393;14609,783;14782,174;14956,599;15133,082
Argentina;Telefonía fija;8366,562151;7499,947864;6952,192334;6045,744451;5551,302791;5300,114443;5103,976909;4955,955902;4829,872823;4708,427446
Argentina;Internet fijo;8087,526384;8137,80575;8456,327924;8785,800388;9064,772953;9359,850847;9631,840396;9853,085205;10047,23264;10223,70793
Bolivia;Población;11353,142;11513,1;11673,021;11832,94;11992,656;12151,989;12310,67;12468,487;12625,331;12781,213
Bolivia;Hogares;3460,753;3535,309;3607,391;3677,091;3744,427;3809,419;3872,372;3933,292;3994,222;4055,149
Bolivia;Telefonía fija;838,4427621;714,1350024;674,6115689;660,5015655;641,7789536;627,1193878;614,1000922;603,8342414;599,38215;600,7532805
Bolivia;Internet fijo;545,1929019;759,4335371;938,0161895;1076,60844;1228,386909;1388,538387;1546,841855;1707,359333;1875,38892;2052,896994
Brazil;Población;208494,9;210147,125;211755,692;213317,639;214828,54;216284,269;217684,462;219029,093;220316,53;221545,234
Brazil;Hogares;72427,228;73919,599;75426,671;76948,588;78485,497;80037,545;81604,882;83187,658;84801,133;86445,902
Brazil;Telefonía fija;35910,09737;31071,57427;27697,0156;24171,58933;23396,69352;22871,24934;22371,4864;21850,19581;21372,95014;20959,2189
Brazil;Internet fijo;30593,98334;32632,32835;32786,67221;40881,00696;45728,0739;50496,0469;54767,92757;58811,47944;62758,49918;66306,40391
Chile;Población;18751,405;19107,216;19458,31;19678,363;19828,563;19960,889;20086,377;20206,953;20322,807;20433,791
Chile;Hogares;6118,031;6235,265;6352,498;6469,997;6587,318;6704,998;6823,715;6944,013;7066,432;7191,009
Chile;Telefonía fija;3225,256241;3075,061325;2825,554584;2686,752608;2508,716641;2344,280108;2232,491937;2136,675412;2065,955306;2024,266934
Chile;Internet fijo;3465,545455;3587,730129;3875,002533;4508,931201;4887,375431;5148,906116;5389,811913;5602,771431;5778,196118;5934,355515
Colombia;Población;49834,24;50374,478;50911,747;51434,385;51928,399;52392,842;52847,192;53290,84;53723,23;54082,518
Colombia;Hogares;14243,223;14717,508;15000,064;15280,918;15561,053;15840,471;16119,174;16397,164;16675,154;16953,144
Colombia;Telefonía fija;8098,585935;7471,286756;7555,096932;7606,816542;7667,85719;7732,379705;7771,183585;7732,701708;7623,661851;7584,560764
Colombia;Internet fijo;6460,912182;6643,273188;7403,420423;7968,607927;8596,775476;9266,148828;9914,709506;10517,59528;11064,94944;11628,11823
Costa Rica;Población;4999,443;5047,561;5094,114;5139,053;5182,352;5223,972;5263,904;5302,111;5338,556;5373,263
