nit;razon social;modalidad;anno;ingresos
800118954;UNIVERSIDAD DE NARIÑO-TELEPASTO;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;0
800214261;ASOCIACION COMUNIDAD CRISTIANA DE RESTAURACION;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;
804006381;CORPORACIÓN CANAL DE TELEVISIÓN LOCAL CIUDADANA DEL ÁREA METROPOLITANA DE BUCARAMANGA TVC;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;
805024229;FUNDACION PARA EL DESARROLLO SOCIAL PROMOVER;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;206678171
811006762;ASOCIACION CANAL LOCAL DE TELEVISION DE MEDELLIN TELEMEDELLIN;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;8668177717
812008353;ASOCIACION CANAL 5 DE TELEVISIÓN LOCAL-CANAL 5;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;46207581
817004595;FUNDACIÓN EMTEL;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;
829001133;"COMUNITARIA DEL MAGDALENA MEDIO ""ARCO IRIS""";TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;134426166
829002093;FUNDACION MAGDALENA MEDIOS DE COMUNICACIÓN-ENLACE TV;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;
830080615;FUNDACION ICTUS;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;1887273668
835000300;UNIVERSIDAD DEL PACIFICO;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;1000000
860063952;CENTRO MISIONERO BETESDHA - RADIO AUTENTICA - VILLAVICENCIO;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;26162303
890399010;UNIVERSIDAD DEL VALLE;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;73674820
891200935;DIOCESIS DE IPIALES-TV IPIALES;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;23300000
891800234;ARQUIDIOCESIS DE TUNJA;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;
900039384;ASOCIACION DE TELEVIDENTES DE LA ESTACION LOCAL DEL NORTE - ATN;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2020;
900163045;CEETTV S.A;TELEVISIÓN LOCAL CON ÁNIMO DE LUCRO;2020;16647696304
860025674;CARACOL TELEVISION S. A.;TELEVISIÓN NACIONAL PRIVADA;2020;613576266411
830029703;R.C.N  TELEVISION S.A.;TELEVISIÓN NACIONAL PRIVADA;2020;255507507825
800118954;UNIVERSIDAD DE NARIÑO-TELEPASTO;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2021;0
800214261;ASOCIACION COMUNIDAD CRISTIANA DE RESTAURACION;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2021;11050000
804006381;CORPORACIÓN CANAL DE TELEVISIÓN LOCAL CIUDADANA DEL ÁREA METROPOLITANA DE BUCARAMANGA TVC;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2021;320000000
805024229;FUNDACION PARA EL DESARROLLO SOCIAL PROMOVER;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2021;300559679
811006762;ASOCIACION CANAL LOCAL DE TELEVISION DE MEDELLIN TELEMEDELLIN;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2021;9415252588
812008353;ASOCIACION CANAL 5 DE TELEVISIÓN LOCAL-CANAL 5;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2021;8440000
817004595;FUNDACIÓN EMTEL;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2021;
829001133;"COMUNITARIA DEL MAGDALENA MEDIO ""ARCO IRIS""";TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2021;368034134
829002093;FUNDACION MAGDALENA MEDIOS DE COMUNICACIÓN-ENLACE TV;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2021;157839203
830080615;FUNDACION ICTUS;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2021;539004433
860063952;CENTRO MISIONERO BETESDHA ;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2021;116084247
890399010;UNIVERSIDAD DEL VALLE;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2021;74344529
891200935;DIOCESIS DE IPIALES-TV IPIALES;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2021;42978414
891800234;ARQUIDIOCESIS DE TUNJA;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2021;238158607
900039384;ASOCIACION DE TELEVIDENTES DE LA ESTACION LOCAL DEL NORTE - ATN;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2021;881013000
835000300;UNIVERSIDAD DEL PACIFICO;TELEVISIÓN NACIONAL PRIVADA;2021;0
830029703;R.C.N  TELEVISION S.A.;TELEVISIÓN NACIONAL PRIVADA;2021;348615716730
900163045;CEETTV S.A;TELEVISIÓN LOCAL CON ÁNIMO DE LUCRO;2021;22565966943
860025674;CARACOL TELEVISION S. A.;TELEVISIÓN NACIONAL PRIVADA;2021;835478360608
860025674;CARACOL TELEVISION S. A.;TELEVISIÓN NACIONAL PRIVADA;2019;761390185745
830029703;R.C.N  TELEVISION S.A.;TELEVISIÓN NACIONAL PRIVADA;2019;351532956992
900163045;CEETTV S.A;TELEVISIÓN LOCAL CON ÁNIMO DE LUCRO;2019;16100182958
891800234;ARQUIDIOCESIS DE TUNJA;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;0
800214261;ASOCIACION COMUNIDAD CRISTIANA DE RESTAURACION;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;5725000
812008353;ASOCIACION CANAL 5 DE TELEVISIÓN LOCAL-CANAL 5;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;12000000
811006762;ASOCIACION CANAL LOCAL DE TELEVISION DE MEDELLIN TELEMEDELLIN;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;32601940871
900039384;ASOCIACION DE TELEVIDENTES DE LA ESTACION LOCAL DEL NORTE - ATN;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;234407492
829001133;"COMUNITARIA DEL MAGDALENA MEDIO ""ARCO IRIS""";TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;247518000
804006381;CORPORACIÓN CANAL DE TELEVISIÓN LOCAL CIUDADANA DEL ÁREA METROPOLITANA DE BUCARAMANGA TVC;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;0
891200935;DIOCESIS DE IPIALES-TV IPIALES;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;10961400
830080615;FUNDACION ICTUS;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;2504791192
829002093;FUNDACION MAGDALENA MEDIOS DE COMUNICACIÓN-ENLACE TV;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;0
805024229;FUNDACION PARA EL DESARROLLO SOCIAL PROMOVER;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;167751116
817004595;FUNDACIÓN EMTEL;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;0
860063952;CENTRO MISIONERO BETESDHA - RADIO AUTENTICA - VILLAVICENCIO;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;19700000
800118954;UNIVERSIDAD DE NARIÑO-TELEPASTO;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;0
835000300;UNIVERSIDAD DEL PACIFICO;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;0
890399010;UNIVERSIDAD DEL VALLE;TELEVISIÓN LOCAL SIN ÁNIMO DE LUCRO;2019;160144928
901032662;PLURAL COMUNICACIONES SAS;TELEVISIÓN NACIONAL (Concesión);2019;45638726263
901032662;PLURAL COMUNICACIONES SAS;TELEVISIÓN NACIONAL (Concesión);2020;41195727963
901032662;PLURAL COMUNICACIONES SAS;TELEVISIÓN NACIONAL (Concesión);2021;48081683000
