anno;mes;fecha;subclase-desc;subclase-cod;indice2018;indice2021
2018;1;ene-18;Servicios de comunicación fija y movil y provisión a internet;08310400;99.61;1.081857291
2018;2;feb-18;Servicios de comunicación fija y movil y provisión a internet;08310400;99.85;1.084453748
2018;3;mar-18;Servicios de comunicación fija y movil y provisión a internet;08310400;99.86;1.084562194
2018;4;abr-18;Servicios de comunicación fija y movil y provisión a internet;08310400;99.87;1.08467065
2018;5;may-18;Servicios de comunicación fija y movil y provisión a internet;08310400;99.89;1.084887584
2018;6;jun-18;Servicios de comunicación fija y movil y provisión a internet;08310400;101.62;1.103764628
2018;7;jul-18;Servicios de comunicación fija y movil y provisión a internet;08310400;100.16;1.087870417
2018;8;ago-18;Servicios de comunicación fija y movil y provisión a internet;08310400;100.02;1.086347399
2018;9;sep-18;Servicios de comunicación fija y movil y provisión a internet;08310400;100.02;1.086347399
2018;10;oct-18;Servicios de comunicación fija y movil y provisión a internet;08310400;100.01;1.086238764
2018;11;nov-18;Servicios de comunicación fija y movil y provisión a internet;08310400;99.99;1.086021516
2018;12;dic-18;Servicios de comunicación fija y movil y provisión a internet;08310400;100;1.086130118
2019;1;ene-19;Servicios de comunicación fija y movil y provisión a internet;08310400;101.71;1.104702943
2019;2;feb-19;Servicios de comunicación fija y movil y provisión a internet;08310400;101.71;1.104702943
2019;3;mar-19;Servicios de comunicación fija y movil y provisión a internet;08310400;101.71;1.104702943
2019;4;abr-19;Servicios de comunicación fija y movil y provisión a internet;08310400;102.49;1.113174758
2019;5;may-19;Servicios de comunicación fija y movil y provisión a internet;08310400;102.49;1.113174758
2019;6;jun-19;Servicios de comunicación fija y movil y provisión a internet;08310400;102.49;1.113174758
2019;7;jul-19;Servicios de comunicación fija y movil y provisión a internet;08310400;102.86;1.11719344
2019;8;ago-19;Servicios de comunicación fija y movil y provisión a internet;08310400;102.84;1.116976214
2019;9;sep-19;Servicios de comunicación fija y movil y provisión a internet;08310400;102.84;1.116976214
2019;10;oct-19;Servicios de comunicación fija y movil y provisión a internet;08310400;102.84;1.116976214
2019;11;nov-19;Servicios de comunicación fija y movil y provisión a internet;08310400;102.84;1.116976214
2019;12;dic-19;Servicios de comunicación fija y movil y provisión a internet;08310400;103.98;1.129358097
2020;1;ene-20;Servicios de comunicación fija y movil y provisión a internet;08310400;104.37;1.133594005
2020;2;feb-20;Servicios de comunicación fija y movil y provisión a internet;08310400;104.34;1.133268166
2020;3;mar-20;Servicios de comunicación fija y movil y provisión a internet;08310400;104.34;1.133268166
2020;4;abr-20;Servicios de comunicación fija y movil y provisión a internet;08310400;101.02;1.097208646
2020;5;may-20;Servicios de comunicación fija y movil y provisión a internet;08310400;97.8;1.062235256
2020;6;jun-20;Servicios de comunicación fija y movil y provisión a internet;08310400;97.8;1.062235256
2020;7;jul-20;Servicios de comunicación fija y movil y provisión a internet;08310400;97.8;1.062235256
2020;8;ago-20;Servicios de comunicación fija y movil y provisión a internet;08310400;101.72;1.104811556
2020;9;sep-20;Servicios de comunicación fija y movil y provisión a internet;08310400;104.64;1.136526556
2020;10;oct-20;Servicios de comunicación fija y movil y provisión a internet;08310400;104.63;1.136417943
